1,31,736298.72222222,736299.77777778
1,38,736298.75,736298.88888889
1,40,736298.71527778,736300.36111111
1,57,736298.79034722,736298.92361111
1,59,736298.78472222,736298.90972222
2,37,736314.99305556,736316.89583333
2,57,736314.80555556,736321.99305556
2,58,736314.99305556,736316.83333333
2,10000031,736314.71555556,736314.9375
2,10000049,736314.79861111,736314.97916667
2,10000059,736314.71527778,736314.93106481
2,20000049,736315.74305556,736315.89583333
2,31,736316.11111111,736320.00694444
2,59,736316.13194444,736317.42361111
2,49,736317.25,736317.47916667
3,37,736344.71527778,736347.04861111
3,49,736344.70833333,736345.90277778
3,50,736344.79166667,736346.04861111
3,58,736344.79166667,736345.07634259
4,37,736350.87524306,736354.70140046
4,49,736350.88194444,736354.75
5,37,736354,736354.70140046
5,38,736354.81944444,736356.86111111
5,41,736354.86805556,736356.89583333
5,48,736354.86805556,736356.11805556
5,50,736354.8187963,736355.90277778
5,58,736354.83333333,736356.88888889
5,59,736354.84027778,736356.86805556
6,37,736378.85416667,736379.74305556
6,38,736378.83333333,736379.73611111
6,41,736378.8125,736379.72222222
6,48,736378.8471875,736379.05555556
6,49,736378.76388889,736379.75
6,50,736378.84722222,736379
6,58,736378.75694444,736379.70833333
7,37,736389.88194444,736390.875
7,38,736389.97222222,736390.45138889
7,41,736389.875,736390.90277778
7,48,736389.92361111,736390.98664352
7,49,736389.91666667,736390.49305556
7,58,736389.90277778,736390.99305556
8,37,736432.72916667,736432.9375
8,38,736432.79166667,736432.92361111
8,41,736432.72222222,736432.88888889
8,48,736432.71413194,736433.04859954
8,50,736432.73690972,736435.65972222
9,37,736447.72916667,736447.85416667
9,38,736447.75,736448.70138889
9,41,736447.71527778,736447.89583333
9,48,736447.75,736448.70833333
9,49,736447.72824074,736447.84722222
9,50,736447.72222222,736447.86805556
10,1,736501.75694444,736502.61806713
10,37,736501.7296875,736503.90972222
10,38,736501.70833333,736502.875
10,42,736501.70833333,736503.93055556
10,60,736501.71527778,736502.5625
10,50,736502.83333333,736503.92361111
10,10000042,736503.95833333,736504.60416667
11,1,736529.77777778,736530.71527778
11,37,736529.77777778,736530.75
11,38,736529.77777778,736530.01388889
11,42,736529.77083333,736530.72222222
11,60,736529.76388889,736530.9375
12,1,736550.72916667,736553.94444444
12,37,736550.75,736553.8125
12,38,736550.76388889,736551.74305556
12,41,736550.73611111,736550.90972222
12,42,736550.73611111,736550.98611111
12,50,736550.75,736551.24305556
12,60,736550.72222222,736550.85416667
13,37,736586.71527778,736586.91666667
13,38,736586.73611111,736587.86805556
13,41,736586.70833333,736589.625
13,42,736586.72222222,736587.86111111
13,50,736586.70138889,736588.89583333
13,60,736586.72222222,736586.90277778
14,1,736621.75694444,736621.86805556
14,37,736621.70138889,736623.91666667
14,38,736621.77777778,736623.91666667
14,41,736621.70833333,736621.90972222
14,42,736621.75,736621.84027778
14,50,736621.73611111,736623.56944444
14,60,736621.72934028,736622.18055556
15,1,736676.83333333,736679.92361111
15,14,736676.82684028,736679.91666667
15,37,736676.85416667,736679.00694444
15,38,736676.86111111,736678.84722222
15,41,736676.88888889,736679.70138889
15,42,736676.875,736679.71527778
15,50,736676.88194444,736679.71527778
16,1,736739.77777778,736742.73611111
16,14,736739.77777778,736742.75
16,37,736739.75694444,736741.17361111
16,38,736739.78472222,736742.72916667
16,41,736739.74305556,736742.72916667
16,42,736739.75,736742.70138889
16,50,736739.76388889,736742.72916667
17,1,736767.72222222,736769.17361111
17,14,736767.74305556,736769.80555556
17,37,736767.73611111,736769.8125
17,38,736767.74305556,736769.80555556
17,41,736767.72222222,736768.0625
17,42,736767.72222222,736768.04858796
17,50,736767.73611111,736769.27083333
18,1,736795.76388889,736795.86111111
18,14,736795.78472222,736797.18055556
18,37,736795.76388889,736795.95833333
18,38,736795.78472222,736802.70833333
18,41,736795.75694444,736795.84722222
18,42,736795.76388889,736795.95833333
19,1,736816.79861111,736817.29861111
19,14,736816.78472222,736819.98611111
19,37,736816.79166667,736818.88888889
19,38,736816.78472222,736818.03472222
19,41,736816.80555556,736819.92361111
19,42,736816.80608796,736818.625
20,1,736851.81944444,736852.11111111
20,14,736851.82638889,736852.07630787
20,37,736851.77083333,736855.65972222
20,38,736851.78472222,736855.66666667
20,41,736851.82638889,736852.5625
20,42,736851.81944444,736855.65277778
21,1,736887.75,736887.84722222
21,14,736887.75,736887.88194444
21,37,736887.75694444,736888.98611111
21,38,736887.77083333,736888.03472222
21,41,736887.73611111,736890.70833333
21,42,736887.73657407,736890.63194444
22,1,736914.70833333,736914.84027778
22,14,736914.70138889,736914.89583333
22,37,736914.72222222,736916.80555556
22,38,736914.76388889,736916.86111111
22,41,736914.71527778,736916.22916667
22,42,736914.71527778,736916.84027778
23,1,736949.72222222,736950.13194444
23,14,736949.73611111,736952.51388889
23,37,736949.70833333,736950.10416667
23,38,736949.73611111,736952.52777778
23,41,736949.70833333,736950.23611111
23,42,736949.71527778,736950.22916667
24,1,736977.70164352,736978.88194444
24,14,736977.70138889,736978.88194444
24,37,736977.70833333,736978.88865741
24,38,736977.71527778,736981.90972222
24,41,736977.70833333,736978.94444444
24,42,736977.71527778,736978.875
