"","kfmid","pxid"
"1465",5,74552
"1466",5,74553
"1467",5,74554
"1468",5,74555
"1469",5,74556
"1470",5,74557
"1471",5,74558
"1472",5,74559
"1473",5,74560
"1474",5,74561
"1475",5,74562
"1476",5,74617
"1477",5,74618
"1478",5,74619
"1479",5,74620
"1480",5,74621
"1481",5,74622
"1482",5,74623
"1483",5,74624
"1484",5,74625
"1485",5,74626
"1486",5,74627
"1487",5,74628
"1488",5,74629
"1489",5,74630
"1490",5,74631
"1491",5,74632
"1492",5,74633
"1493",5,74634
"1494",5,74635
"1495",5,74636
"1496",5,74637
"1497",5,74638
"1498",5,74639
"1499",5,74640
"1500",5,74698
"1501",5,74699
"1502",5,74700
"1503",5,74701
"1504",5,74702
"1505",5,74703
"1506",5,74704
"1507",5,74705
"1508",5,74706
"1509",5,74707
"1510",5,74708
"1511",5,74709
"1512",5,74710
"1513",5,74711
"1514",5,74712
"1515",5,74713
"1516",5,74714
"1517",5,74715
"1518",5,74716
"1519",5,74717
"1520",5,74718
"1521",5,74719
"1522",5,74720
"1523",5,74721
"1524",5,74722
"1525",5,74784
"1526",5,74785
"1527",5,74786
"1528",5,74787
"1529",5,74788
"1530",5,74789
"1531",5,74790
"1532",5,74791
"1533",5,74792
"1534",5,74793
"1535",5,74794
"1536",5,74795
"1537",5,74796
"1538",5,74797
"1539",5,74798
"1540",5,74799
"1541",5,74800
"1542",5,74801
"1543",5,74802
"1544",5,74803
"1545",5,74804
"1546",5,74805
"1547",5,74806
"1548",5,74869
"1549",5,74870
"1550",5,74871
"1551",5,74872
"1552",5,74873
"1553",5,74874
"1554",5,74875
"1555",5,74876
"1556",5,74877
"1557",5,74878
"1558",5,74879
"1559",5,74880
"1560",5,74881
"1561",5,74882
"1562",5,74883
"1563",5,74884
"1564",5,74885
"1565",5,74886
"1566",5,74887
"1567",5,74888
"1568",5,74889
"1569",5,74890
"1570",5,74891
"1571",5,74892
"1572",5,74952
"1573",5,74953
"1574",5,74954
"1575",5,74955
"1576",5,74956
"1577",5,74957
"1578",5,74958
"1579",5,74959
"1580",5,74960
"1581",5,74961
"1582",5,74962
"1583",5,74963
"1584",5,74964
"1585",5,74965
"1586",5,74966
"1587",5,74967
"1588",5,74968
"1589",5,74969
"1590",5,74970
"1591",5,74971
"1592",5,74972
"1593",5,74973
"1594",5,74974
"1595",5,74975
"1596",5,75033
"1597",5,75034
"1598",5,75035
"1599",5,75036
"1600",5,75037
"1601",5,75038
"1602",5,75039
"1603",5,75040
"1604",5,75041
"1605",5,75042
"1606",5,75043
"1607",5,75044
"1608",5,75045
"1609",5,75046
"1610",5,75047
"1611",5,75048
"1612",5,75049
"1613",5,75050
"1614",5,75051
"1615",5,75052
"1616",5,75053
"1617",5,75054
"1618",5,75055
"1619",5,75104
"1620",5,75105
"1621",5,75106
"1622",5,75107
"1623",5,75108
"1624",5,75109
"1625",5,75110
"1626",5,75111
"1627",5,75112
"1628",5,75113
"1629",5,75114
"1630",5,75115
"1631",5,75116
"1632",5,75117
"1633",5,75118
"1634",5,75119
"1635",5,75120
"1636",5,75121
"1637",5,75122
"1638",5,75123
"1639",5,75124
"1640",5,75125
"1641",5,75126
"1642",5,75181
"1643",5,75182
"1644",5,75183
"1645",5,75184
"1646",5,75185
"1647",5,75186
"1648",5,75187
"1649",5,75188
"1650",5,75189
"1651",5,75190
"1652",5,75191
"1653",5,75192
"1654",5,75193
"1655",5,75194
"1656",5,75195
"1657",5,75196
"1658",5,75197
